input,reference,greedy,beam
"at least if be otherwise , there be not want other motif much more influential with him .","or at least if this were otherwise , there were not wanting other motives much more influential with him .","at least if this be otherwise , there is not wanted the other motives much more to enable with him .","at least if this be otherwise , there is not wanted the other motives much more to enable with him ."
king .,king .,king .,king .
they shall go hindmost with their standard .,they shall go hindmost with their standards .,they shall go to the hindmost with their standard .,they shall go to the hindmost with their standard .
"4 : 8 for gird you with sackcloth , lament howl : for fierce anger of lord be not turn back from u .","4 : 8 for this gird you with sackcloth , lament and howl : for the fierce anger of the lord is not turned back from us .","4 : 8 for gird you with sackcloth , lament howling : for fierce anger of the lord is not turned back from us .","4 : 8 for gird you with sackcloth , lament howling : for fierce anger of the lord is not turned back from us ."
""" no , indeed , i understand by them two very different thing .",""" no , indeed , i understand by them two very different things .",""" no , indeed , i understand by them two very different thing .",""" no , indeed , i understand by them two very different thing ."
old married man -- quite good for nothing .,an old married man -- quite good for nothing .,old married man -- quite good for nothing .,old married man -- quite good for nothing .
length breadth height of it be equal .,the length and the breadth and the height of it are equal .,the length and the breadth the height of it was equal .,the length breadth the height of it was equal .
"14 : 35 if they will learn thing , let them ask their husband at home : for it be shame for woman speak in church .","14 : 35 and if they will learn any thing , let them ask their husbands at home : for it is a shame for women to speak in the church .","14 : 35 if they will learn any thing , let them ask their husband at home : for it is a shame for a woman to speak in the church .","14 : 35 if they will learn any thing , let them ask their husband at home : for it is a shame for a woman to speak in the church ."
"9 : 13 for people turneth not unto him that smiteth them , do they seek lord of host .","9 : 13 for the people turneth not unto him that smiteth them , neither do they seek the lord of hosts .","9 : 13 for the people turneth not unto him that smiteth them , neither do they seek the lord of hosts .","9 : 13 for the people turneth not unto him that smiteth them , neither do they seek the lord of hosts ."
"he have find thing which modern people call impressionism , which be name for final scepticism which can find floor universe .","he had found the thing which the modern people call impressionism , which is another name for that final scepticism which can find no floor to the universe .","he had found the thing which the modern people called the impressionism , which is named for the final scepticism which can find the floor universe .","he had found the thing which the modern people called the impressionism , which is named for the final scepticism which can find the floor universe ."
"29 : 8 young men saw me , hide themselves : age arose , stand up .","29 : 8 the young men saw me , and hid themselves : and the aged arose , and stood up .","29 : 8 and the young men saw me , and hid themselves : and the aged arose , and stand up .","29 : 8 and the young men saw me , and hid themselves : and the aged arose , and stand up ."
"piedro saw that his father be in passion , know that he be beaten because he be find out be rogue , rather than for be one .","piedro saw that his father was in a passion , and knew that he was beaten because he was found out to be a rogue , rather than for being one .","piedro saw that his father was in passions , knowing that he was beaten because he was found out to be a rogue , rather than for being one .","piedro saw that his father was in a passion , knowing that he was beaten because he was found out to be a rogue , rather than for being one ."
""" i have ,"" return elinor , colour likewise , harden her heart anew against compassion for him , "" i have hear it .",""" i have ,"" returned elinor , colouring likewise , and hardening her heart anew against any compassion for him , "" i have heard it all .",""" i have ,"" returned elinor , colouring likewise , hardened her heart anew against compassion for him , "" i have heard it .",""" i have ,"" returned elinor , colouring likewise , hardened her heart anew against compassion for him , "" i have heard it ."
40 : 24 he taketh it with his eye : his nose  through snare .,40 : 24 he taketh it with his eyes : his nose through snares .,40 : 24 and he taketh it with his eyes : and his nose through the snare .,40 : 24 and he taketh it with his eyes : and his nose through the snare .
you  rascal !,you rascal !,you rascal !,you rascal !
"miss steele be least discomposed of three , by their presence ; it be in their power reconcile her it entirely .","miss steele was the least discomposed of the three , by their presence ; and it was in their power to reconcile her to it entirely .","miss steeles was the least of three , by their presence ; and it was in their power to reconcile her to choose .","miss steeles was the least of the three , by their presence ; and it was in their power to reconcile her it entirely ."
"turnbull macian look at other , say more than they could ever say with tongue sword .","turnbull and macian looked at each other , and said more than they could ever say with tongues or swords .","turnbull macian looked at each other , and said more than they could ever say with tongues swords .","turnbull macian looked at each other , and said more than they could ever say with tongues swords ."
"3 : 1 i , brother , could not speak unto you a unto spiritual , a unto carnal , even a unto babe in christ .","3 : 1 and i , brethren , could not speak unto you as unto spiritual , but as unto carnal , even as unto babes in christ .","3 : 1 i , brethren , could not speak unto you as unto the spiritual , as unto carnal , even as unto babes in christ .","3 : 1 i , brethren , could not speak unto you as unto the spiritual , as unto carnal , even as unto babes in christ ."
"be quite female case , it would be highly absurd in him , who could be of use at home , shut himself up .","this was quite a female case , and it would be highly absurd in him , who could be of no use at home , to shut himself up .","this was quite female case , and it would be highly absurd in him , who could be of use at home , and shut himself up .","this was quite female case , and it would be highly absurd in him , who could be of use at home , and shut himself up ."
"it have be very happy fortnight , forlorn must be sinking from it into common course of hartfield day .","it had been a very happy fortnight , and forlorn must be the sinking from it into the common course of hartfield days .","it had been very happy fortnight , forlorn must be sinking from its into a common course of hartfield day .","it had been very happy fortnight , forlorn must be sinking from it into a common course of hartfield day ."
"in fact , felix have till now profess himself his firm ally , have on his part receive from franklin unequivocal proof of friendship ; for it must be tell that other morning , when it be felix ' s turn get breakfast , felix never be up","in fact , felix had till now professed himself his firm ally , and had on his part received from franklin unequivocal proofs of friendship ; for it must be told that every other morning , when it was felix ' s turn to get breakfast , felix","in fact , felix had till now professed himself to his firm mist , had on his part received from franklin to the unequivocal of friendship ; for it must be told that other morning , when it was felix ' s turn breakfast breakfast breakfast , felix","in fact , felix had till now professed himself to his firm mist , had on his part received from franklin to the unequivocal of friendship ; for it must be told that other morning , when it was felix ' s turn breakfast breakfast breakfast , felix"
"4 : 10 philistine fought , israel be smite , they flee man into his tent : there be very great slaughter ; for there fell of israel thirty thousand footman .","4 : 10 and the philistines fought , and israel was smitten , and they fled every man into his tent : and there was a very great slaughter ; for there fell of israel thirty thousand footmen .","4 : 10 and the philistines fought , and israel was smitten , and they fled a man into his tent : and there was very great slaughter ; for there fell of israel and thirty thousand footmen .","4 : 10 and the philistines fought , and israel was smitten , and they fled a man into his tent : and there was very great slaughter ; for there fell of israel and thirty thousand footmen ."
"2 : 14 space in which we come from kadeshbarnea , until we be come over brook zered , be thirty eight year ; until all generation of men of war be waste out from among host , a lord sware unto them .","2 : 14 and the space in which we came from kadeshbarnea , until we were come over the brook zered , was thirty and eight years ; until all the generation of the men of war were wasted out from among the host , as the lord","2 : 14 and space in which we came from kadeshbarnea , and the kadeshbarnea until we be come over the brook and the heat , and was thirty and eight years ; until all the generation of men of war was wasted out from among the host","2 : 14 and space in which we came from kadeshbarnea , and the kadeshbarnea until we be come over the brook to the heat , and was thirty and eight years ; until all the generation of men of war are wasted out from among the host"
""" lose in desert wild be your little child .",""" lost in desert wild is your little child .",""" lost in the desert wild is your little child .",""" lost in the deserted wild is your little child ."
"30 : 12 wherefore thus saith holy one of israel , because ye despise word , trust in oppression perverseness , stay thereon : 30 : 13 therefore iniquity shall be you a breach ready fall , swell out in high wall , whose break cometh suddenly at","30 : 12 wherefore thus saith the holy one of israel , because ye despise this word , and trust in oppression and perverseness , and stay thereon : 30 : 13 therefore this iniquity shall be to you as a breach ready to fall , swelling out","30 : 12 wherefore thus saith the holy one of israel , because ye despised words , trust in oppression perverseness , stay thereon : 30 : 13 therefore iniquity shall be you as breach ready , and swell out in high walls , whose broken far broken","30 : 12 wherefore thus saith the holy one of israel , because ye despised words , trust in oppression perverseness , stay thereon : 30 : 13 therefore iniquity shall be you as breach ready , and swell out in high walls , whose broken far broken"
mal .,mal .,mal .,mal .
"she be ponder , in meanwhile , upon possibility , without seem very rude , of make her escape from jane fairfax ' s letter , have almost resolve on hurry away directly under slight excuse , when miss bates turn her again seize her attention .","she was pondering , in the meanwhile , upon the possibility , without seeming very rude , of making her escape from jane fairfax ' s letter , and had almost resolved on hurrying away directly under some slight excuse , when miss bates turned to her again","she was pondered , in meanwhile , upon the possibility , without seeming very rude , of making her escape from jane fairfax ' s letter , had almost resolved on the hurried away directly under a slight excuse , when miss bates turned her again to her","she was pondered , in meanwhile , upon the possibility , without seeming very rude , of making her escape from jane fairfax ' s letter , had almost resolved on the hurried away directly under a slight excuse , when miss bates turned her again to her"
i be quite ready .,i am quite ready .,i am quite ready .,i am quite ready .
"be , perhaps , one of happy day of your life .""","this is , perhaps , one of the happiest days of your life .""","this is , perhaps , one of the happy days of your life .""","this is , perhaps , one of the happy days of your life ."""
